TransactionID,Amount
TX000001,13451.24
TX000002,45446.78
TX000003,19145.86
TX000004,16152.37
TX000005,38685.4
TX000006,44837.31
TX000007,40555.34
TX000008,1775.0
TX000009,36786.83
TX000010,40891.09
TX000011,46770.0
TX000012,13747.21
TX000013,42150.32
TX000014,22208.28
TX000015,18293.15
TX000016,19073.3
TX000017,28651.26
TX000018,21721.45
TX000019,49331.82
TX000020,24904.21
TX000021,6668.06
TX000022,30256.59
TX000023,47088.24
TX000024,44784.88
TX000025,32291.69
TX000026,30313.78
TX000027,32375.17
TX000028,2329.69
TX000029,33456.25
TX000030,28875.47
TX000031,46969.82
TX000032,3385.69
TX000033,37050.55
TX000034,26311.8
TX000035,6552.3
TX000036,2834.45
TX000037,27615.51
TX000038,43456.35
TX000039,4420.47
TX000040,44087.07
TX000041,19806.71
TX000042,23629.74
TX000043,10048.61
TX000044,11435.03
TX000045,29593.41
TX000046,11336.79
TX000047,46594.37
TX000048,2412.86
TX000049,2628.25
TX000050,24127.29
TX000051,2186.31
TX000052,26447.89
TX000053,3791.67
TX000054,43150.49
TX000055,36428.46
TX000056,2891.32
TX000057,18719.98
TX000058,3584.93
TX000059,3541.0
TX000060,46758.57
TX000061,39387.66
TX000062,14830.91
TX000063,40988.01
TX000064,561.83
TX000065,4398.94
TX000066,23675.46
TX000067,21517.79
TX000068,49655.08
TX000069,37976.77
TX000070,45292.55
TX000071,24491.61
TX000072,17412.15
TX000073,20262.59
TX000074,3688.49
TX000075,4059.93
TX000076,32151.92
TX000077,20037.33
TX000078,10981.59
TX000079,28645.13
TX000080,2725.66
TX000081,25699.6
TX000082,19699.03
TX000083,38909.77
TX000084,45693.4
TX000085,39865.53
TX000086,13110.09
TX000087,22282.24
TX000088,438.72
TX000089,17727.05
TX000090,15263.17
TX000091,44544.11
TX000092,44756.43
TX000093,2221.32
TX000094,43436.07
TX000095,31910.21
TX000096,44308.66
TX000097,14797.84
TX000098,39449.18
TX000099,43769.92
TX000100,26154.07
TX000101,21150.68
TX000102,45496.19
TX000103,47415.52
TX000104,35932.05
TX000105,1983.87
TX000106,18932.6
TX000107,46187.11
TX000108,39107.56
TX000109,38116.04
TX000110,26405.59
TX000111,31894.52
TX000112,7719.28
TX000113,40744.47
TX000114,8211.95
TX000115,11934.63
TX000116,44434.38
TX000117,10217.85
TX000118,40327.99
TX000119,20786.24
TX000120,38532.97
TX000121,16683.85
TX000122,26222.16
TX000123,38686.69
TX000124,23532.87
TX000125,32872.86
TX000126,37690.34
