TransactionID,Amount
99998,900000.00
100000,800000.00
99996,700000.00
99999,400000.00
99997,400000.00
69329,49999.94
51778,49999.64
11756,49999.56
89469,49999.09
65964,49998.71
92383,49998.45
33783,49997.54
89793,49997.51
72124,49996.81
52871,49996.00
48456,49995.82
94773,49994.97
76798,49994.71
24322,49994.52
73025,49992.60
30804,49991.97
93791,49991.24
10574,49991.06
12365,49990.95
30377,49990.93
45624,49990.09
27499,49989.04
42819,49988.51
5299,49988.33
4816,49987.36
47944,49986.83
25957,49986.60
48045,49986.11
97851,49985.86
14617,49985.26
40333,49985.13
49375,49984.17
12427,49983.91
74150,49983.43
75151,49983.35
48743,49983.34
16426,49982.69
59878,49981.46
28582,49981.45
8794,49980.91
62328,49980.67
76613,49980.35
35855,49980.09
49366,49979.95
72101,49978.61
19225,49978.57
19363,49978.33
27846,49978.31
784,49977.38
37422,49976.98
74103,49976.83
20486,49976.40
83,49976.08
89637,49975.59
59779,49974.56
4803,49974.13
63346,49973.75
57319,49972.63
20188,49972.57
34857,49972.26
45701,49971.01
99391,49970.08
42018,49969.94
19913,49969.73
78784,49969.18
79329,49968.97
15202,49968.28
24586,49967.05
26127,49966.97
89580,49966.96
86741,49965.65
19860,49965.42
91409,49965.40
52186,49965.35
77702,49965.15
33295,49964.64
82050,49964.51
42293,49964.48
61792,49963.92
27891,49963.76
54517,49961.45
79315,49961.30
58601,49961.06
40537,49960.08
93529,49959.64
17348,49959.54
69238,49959.44
46597,49958.89
2209,49958.69
91248,49958.55
38106,49958.37
51258,49958.03
57913,49957.74
11040,49956.62
34471,49956.03
46064,49955.98
7586,49955.91
73227,49955.76
83794,49955.46
52221,49955.15
92365,49954.75
61597,49953.90
97215,49951.98
46915,49951.18
59607,49950.58
14523,49949.78
3107,49949.39
59579,49948.83
23018,49947.64
72958,49947.43
24762,49947.03
79181,49946.93
11033,49946.43
51556,49946.28
81772,49944.11
20627,49943.86
73640,49943.26
40040,49943.15
57580,49941.80
17319,49941.60
18293,49941.28
23256,49941.17
50519,49939.93
54503,49939.85
23111,49939.46
16523,49937.02
79559,49936.67
62529,49936.43
77291,49936.34
80477,49935.89
22227,49935.21
90319,49934.08
93379,49933.96
18903,49933.87
82028,49933.11
62663,49932.62
85536,49932.47
5389,49931.93
52399,49931.33
98092,49931.32
1988,49931.03
66749,49931.01
88207,49930.97
24994,49930.26
25606,49930.00
57172,49929.39
49408,49928.63
35247,49928.61
6268,49927.10
57823,49926.86
95222,49925.97
90187,49925.33
9189,49925.20
73895,49924.75
28310,49924.34
51360,49923.91
15689,49923.71
82321,49923.48
72045,49923.43
5924,49922.82
22364,49922.63
18082,49922.58
14859,49921.76
70669,49921.48
16837,49921.16
32229,49920.45
77519,49920.20
71348,49920.14
73954,49919.90
57421,49919.34
98545,49918.67
53771,49918.63
81193,49918.32
9929,49918.00
96865,49917.89
56819,49917.70
64157,49917.62
69891,49917.10
41751,49917.10
32806,49916.59
19832,49916.07
50326,49915.94
87680,49915.64
41064,49915.62
81642,49915.60
22282,49915.16
87917,49914.24
97343,49914.19
60383,49913.53
58927,49913.07
20162,49912.58
45761,49911.26
94941,49911.19
41197,49910.52
18304,49909.48
32183,49908.58
37975,49908.36
87170,49908.20
18158,49907.78
98067,49907.55
65351,49907.51
68101,49907.48
44863,49907.31
46860,49906.95
47346,49906.61
95373,49906.54
70463,49906.13
63862,49905.67
72071,49905.24
26106,49904.88
85490,49902.20
11551,49902.17
89044,49901.28
14239,49901.22
34057,49900.88
79003,49900.73
14393,49900.51
61499,49900.06
91666,49899.70
36761,49899.35
90190,49899.01
24454,49898.87
7120,49898.10
8573,49898.04
99675,49897.59
23459,49896.93
57920,49896.62
71476,49896.20
21275,49895.73
13010,49894.55
87343,49894.46
15455,49893.50
49671,49893.42
63212,49893.32
34469,49892.81
94215,49892.59
84411,49890.84
12094,49888.30
24087,49887.90
8735,49887.74
30548,49887.41
67002,49887.32
44757,49886.61
11096,49886.29
70034,49886.16
5598,49885.76
44885,49885.72
10056,49885.25
58729,49885.01
91194,49884.79
4775,49883.96
10563,49883.51
69835,49882.93
37933,49882.56
16949,49881.28
33561,49881.03
72276,49880.90
84018,49880.61
95146,49880.32
26293,49879.91
65445,49879.66
60064,49879.42
94751,49879.20
50359,49878.77
61761,49878.15
19295,49877.72
46603,49877.55
96052,49877.33
92310,49877.29
47901,49877.25
28288,49877.09
89896,49876.34
41610,49875.56
55463,49875.20
52784,49874.92
46718,49874.81
98242,49874.68
83640,49874.00
90307,49873.68
49690,49872.78
88974,49872.69
46565,49872.18
59029,49872.00
56223,49871.41
37595,49871.31
25638,49870.29
76146,49869.76
96628,49869.64
17299,49869.40
42717,49868.93
9999,49868.71
20427,49868.57
98946,49868.17
76457,49867.49
65794,49867.48
56824,49866.33
95847,49866.29
41581,49865.60
32206,49864.38
39018,49863.22
87098,49861.60
32935,49861.39
38494,49860.56
88990,49860.00
4214,49859.90
61935,49859.85
46998,49859.51
42419,49859.46
11726,49859.10
59917,49858.75
96368,49858.73
50431,49857.13
58804,49856.62
84157,49855.03
64691,49854.85
8560,49854.69
20517,49854.28
10290,49854.28
23278,49853.89
36061,49853.58
60390,49852.64
25919,49852.37
94521,49850.73
16805,49850.29
91195,49850.14
75022,49849.78
78159,49849.69
66135,49849.34
95252,49848.75
88312,49848.42
40202,49848.24
53734,49847.58
30132,49847.22
4824,49845.95
76294,49845.55
56306,49845.46
1922,49844.85
90325,49843.55
11595,49843.45
46881,49843.34
42540,49842.46
36306,49842.40
7273,49841.28
52051,49840.90
68475,49840.54
21110,49840.32
95974,49840.10
48219,49839.32
59488,49839.27
57866,49839.07
746,49838.46
48360,49838.39
79508,49837.54
36139,49836.44
81956,49836.37
69857,49835.71
61778,49835.49
48063,49835.05
20357,49835.04
92602,49834.86
26504,49834.09
11954,49833.32
89510,49830.38
14659,49829.04
45228,49827.87
73565,49827.35
83340,49827.07
69810,49826.85
32836,49826.64
43829,49826.34
16168,49825.78
48372,49825.74
19683,49825.63
77514,49825.21
86306,49825.09
32841,49824.13
42950,49824.12
5907,49823.91
21023,49823.89
93444,49823.82
18392,49823.18
55667,49823.15
73255,49822.38
37658,49821.56
23169,49819.61
125,49819.55
78377,49818.98
68378,49818.62
42375,49818.52
70132,49818.29
33852,49817.80
52680,49817.46
66227,49816.89
14604,49816.62
74964,49815.95
25018,49815.89
14266,49815.54
23737,49815.49
6097,49814.91
12238,49814.87
43155,49814.49
15002,49814.45
21931,49813.92
20566,49813.75
25904,49813.09
8156,49812.92
20314,49812.05
55493,49811.49
13760,49811.21
32264,49810.40
4673,49810.33
38803,49810.05
7412,49808.82
47306,49807.13
89136,49806.97
93382,49806.38
30258,49805.17
79652,49803.92
85254,49803.29
62976,49802.67
8876,49802.23
20749,49802.16
13390,49801.99
47766,49801.70
95757,49801.65
79149,49801.54
72175,49801.08
48408,49800.73
83661,49800.53
10854,49799.25
9806,49799.20
89065,49798.95
69100,49798.93
32131,49798.39
71122,49797.69
26172,49797.61
14733,49797.37
27400,49797.35
27096,49796.63
25552,49796.33
68514,49796.23
12560,49796.22
84427,49796.10
72261,49795.95
74454,49795.33
27347,49795.28
67776,49794.41
95180,49793.60
29377,49793.47
89474,49793.26
