TransactionID,Amount
TX000003,900000.00
TX000002,900000.00
TX000004,700000.00
TX000001,600000.00
TX000005,400000.00
TX003978,49999.46
TX001601,49990.21
TX001906,49988.63
TX009282,49988.07
TX001154,49981.67
TX000874,49980.24
TX003533,49963.73
TX009552,49957.10
TX009378,49955.44
TX006876,49955.43
TX002881,49954.42
TX007162,49952.25
TX004177,49950.82
TX001330,49945.59
TX009801,49939.93
TX007400,49937.94
TX006154,49937.84
TX003630,49937.14
TX006844,49937.01
TX008896,49933.62
TX009835,49929.12
TX001001,49926.65
TX003463,49925.64
TX005171,49913.97
TX007212,49912.50
TX006158,49911.12
TX004612,49910.49
TX006142,49909.93
TX008457,49907.31
TX003377,49906.16
TX002013,49903.75
TX001953,49890.95
TX008216,49890.48
TX009354,49890.27
TX009941,49887.18
TX003701,49886.42
TX007781,49879.50
TX002107,49879.41
TX002475,49866.53
TX000528,49860.02
TX009158,49857.54
TX002284,49856.74
TX006623,49853.90
TX002635,49852.60
TX002369,49827.17
TX003492,49824.66
TX004576,49813.75
TX003803,49807.24
TX006309,49807.13
TX008599,49798.98
TX008244,49789.38
TX001850,49783.49
TX009363,49776.15
TX000706,49763.60
TX009402,49755.14
TX004142,49753.24
TX005671,49742.22
TX002138,49734.19
TX003418,49733.97
TX007774,49728.06
TX004725,49727.53
TX007908,49722.23
TX000074,49722.11
TX006412,49709.78
TX001755,49704.92
TX002124,49703.44
TX009947,49702.37
TX009887,49701.13
TX001362,49699.91
TX005592,49699.69
TX003060,49694.98
TX008539,49692.44
TX004662,49684.81
TX004855,49679.53
TX006934,49677.06
TX005599,49674.66
TX002224,49652.19
TX007100,49648.00
TX006185,49640.39
TX009744,49637.25
TX005527,49628.25
TX002534,49621.25
TX003970,49613.49
TX007610,49610.83
TX009511,49609.37
TX009906,49599.07
TX008024,49597.75
TX007147,49597.12
TX003906,49594.40
TX005706,49587.93
TX001870,49586.50
TX009013,49574.98
TX009538,49565.41
TX002704,49563.41
TX002928,49555.44
TX009850,49553.83
TX003723,49552.06
TX007532,49548.77
TX002634,49548.57
TX002529,49546.32
TX009193,49540.24
TX009524,49527.36
TX003256,49526.40
TX006373,49525.26
TX006729,49523.99
TX007080,49512.24
TX002263,49505.32
TX008396,49502.60
TX000504,49491.68
TX002657,49487.51
TX009235,49469.49
TX004383,49469.45
TX009676,49464.91
TX002791,49462.25
TX001116,49459.35
TX008490,49459.23
TX004955,49457.25
TX000510,49454.62
TX004323,49451.69
TX009910,49444.76
TX004633,49444.56
TX006465,49408.53
TX006230,49392.02
TX001452,49386.98
TX000884,49384.37
TX004603,49375.93
TX002935,49356.31
TX004120,49354.84
TX008156,49347.09
TX003740,49344.66
TX003862,49343.10
TX006050,49328.67
TX000425,49327.93
TX001392,49316.91
TX006545,49311.62
TX000419,49309.73
TX009974,49306.34
TX000446,49301.78
TX006494,49299.60
TX008135,49299.35
TX003046,49288.44
TX002763,49286.52
TX009237,49285.17
TX002029,49275.10
TX005356,49270.79
TX007957,49268.71
TX007231,49265.45
TX008102,49258.31
TX002743,49256.62
TX008069,49253.67
TX003732,49253.16
TX005028,49243.22
TX006140,49240.37
TX008663,49238.93
TX000072,49235.87
TX005807,49232.39
TX009240,49216.64
TX004629,49213.79
TX000249,49184.03
TX006978,49168.36
TX001626,49151.56
TX002216,49147.38
TX008476,49141.36
TX009646,49136.96
TX008845,49135.41
TX000847,49133.67
TX000390,49129.05
TX008809,49124.24
TX000966,49114.96
TX004106,49112.02
TX003298,49109.28
TX005684,49108.90
TX005776,49107.63
TX009064,49095.28
TX006167,49075.47
TX001224,49073.79
TX008188,49064.92
TX005251,49047.63
TX000141,49045.52
TX001673,49041.36
TX002965,49023.16
TX003162,49013.48
TX005734,49006.75
TX005153,48995.90
TX001690,48995.82
TX001986,48994.76
TX007913,48993.75
TX000968,48991.62
TX009458,48986.17
TX008603,48982.41
TX007317,48979.83
TX005205,48970.77
TX000458,48966.18
TX005711,48962.01
TX009895,48954.74
TX008991,48954.28
TX009381,48952.95
TX009056,48951.22
TX004636,48948.00
TX000773,48940.48
TX003181,48940.28
TX002712,48939.12
TX008091,48922.42
TX004605,48904.94
TX004948,48900.30
TX001166,48891.89
TX005626,48884.53
TX007685,48876.01
TX004670,48876.00
TX006533,48875.35
TX004109,48873.55
TX000737,48872.89
TX006353,48872.82
TX006693,48870.70
TX005034,48870.04
TX007227,48867.63
TX002691,48866.69
TX001258,48845.35
TX004459,48844.90
TX000961,48842.52
TX000750,48839.36
TX003642,48837.30
TX003988,48833.13
TX003801,48826.83
TX009435,48822.91
TX008877,48822.43
TX003940,48822.05
TX005328,48819.23
TX009073,48810.28
TX007403,48808.26
TX009833,48801.42
TX004848,48795.96
