TransactionID,Amount
Tx01,800000.00
Tx03,700000.00
Tx02,600000.00
Tx04,400000.00
Tx05,300000.00
TX023224,49998.03
TX075859,49997.97
TX039049,49997.94
TX097853,49997.70
TX009834,49997.67
TX002879,49997.45
TX008069,49996.18
TX025623,49995.57
TX092301,49994.41
TX082699,49993.66
TX080547,49992.06
TX095026,49992.02
TX097541,49991.64
TX010426,49991.37
TX004102,49991.29
TX078074,49990.26
TX088391,49990.06
TX061906,49990.03
TX019581,49989.34
TX016658,49988.65
TX039068,49988.39
TX019172,49988.07
TX024235,49987.27
TX057265,49987.09
TX043970,49986.34
TX045223,49984.96
TX055899,49984.42
TX075709,49984.29
TX093831,49984.12
TX096968,49983.86
TX062917,49983.50
TX035699,49983.48
TX025733,49983.43
TX048102,49982.05
TX067117,49981.91
TX023733,49981.69
TX080045,49981.46
TX061241,49980.71
TX056424,49979.48
TX052678,49979.07
TX015055,49979.03
TX060643,49978.36
TX039524,49978.16
TX074733,49977.83
TX052310,49977.80
TX013097,49976.65
TX052094,49976.09
TX083201,49976.01
TX075182,49976.00
TX085307,49975.10
TX087768,49974.85
TX098452,49973.76
TX050617,49973.32
TX099229,49973.22
TX088344,49971.84
TX094980,49971.43
TX014206,49971.09
TX044512,49969.85
TX081272,49969.10
TX039454,49968.90
TX089106,49967.66
TX087736,49967.40
TX089653,49965.07
TX053710,49964.42
TX088040,49964.29
TX012139,49964.18
TX073889,49963.80
TX095934,49963.07
TX058958,49962.40
TX099545,49962.17
TX085621,49960.99
TX069841,49960.88
TX040825,49960.84
TX005749,49960.34
TX031489,49960.11
TX043010,49959.43
TX000581,49959.29
TX070686,49958.25
TX078974,49957.50
TX069905,49957.46
TX004207,49957.40
TX098710,49956.40
TX043291,49956.16
TX021337,49955.98
TX088772,49955.54
TX071004,49955.43
TX030626,49955.42
TX012400,49955.33
TX068047,49954.70
TX069244,49954.19
TX071802,49953.64
TX014465,49953.24
TX068864,49952.92
TX033660,49952.63
TX071667,49951.28
TX083128,49951.00
TX012527,49950.65
TX082676,49950.16
TX039842,49950.03
TX087211,49949.05
TX055006,49948.86
TX056626,49947.13
TX041483,49946.92
TX028874,49946.85
TX044786,49946.79
TX064198,49946.23
TX086228,49945.70
TX051205,49945.07
TX085920,49944.91
TX090682,49944.52
TX023037,49943.69
TX093640,49943.50
TX032353,49943.37
TX053736,49941.77
TX020352,49940.84
TX005628,49940.30
TX033818,49939.99
TX093141,49939.87
TX043149,49939.51
TX025188,49939.21
TX021993,49939.15
TX040957,49938.76
TX034534,49938.67
TX096363,49938.46
TX024179,49938.21
TX092187,49937.25
TX059278,49937.10
TX017282,49936.36
TX090618,49936.26
TX047659,49934.81
TX005254,49934.63
TX034711,49934.32
TX095683,49933.80
TX012867,49933.61
TX019836,49933.54
TX099129,49932.70
TX014280,49932.54
TX053342,49932.48
TX069195,49932.34
TX081678,49931.91
TX025916,49931.43
TX059968,49931.35
TX058420,49930.81
TX063483,49930.58
TX076680,49930.38
TX054684,49930.09
TX052924,49929.69
TX053847,49928.05
TX070010,49928.03
TX056361,49927.65
TX000227,49927.56
TX016024,49927.52
TX041039,49927.40
TX025803,49927.26
TX003904,49926.92
TX090616,49925.60
TX045799,49925.50
TX042389,49924.68
TX040325,49924.55
TX051867,49924.38
TX077105,49923.65
TX014782,49923.40
TX059280,49921.04
TX095775,49920.99
TX016240,49919.24
TX064770,49919.01
TX030551,49918.62
TX088853,49917.85
TX004690,49917.72
TX028822,49917.57
TX086725,49917.37
TX067520,49916.60
TX031377,49916.49
TX012203,49913.48
TX033400,49913.03
TX081839,49912.59
TX042284,49912.41
TX083846,49912.40
TX014550,49912.18
TX096469,49911.46
TX087741,49910.80
TX057542,49910.63
TX037081,49910.35
TX077895,49910.13
TX049359,49910.12
TX082252,49909.81
TX068512,49908.74
TX099825,49907.80
TX044846,49907.70
TX065599,49907.21
TX087334,49906.38
TX048712,49905.88
TX038342,49905.58
TX026083,49905.50
TX068733,49904.04
TX074477,49903.96
TX033000,49903.96
TX053192,49903.49
TX094550,49903.02
TX026241,49902.81
TX099880,49901.57
TX031486,49901.57
TX057668,49900.99
TX085622,49900.02
TX002450,49899.96
TX046728,49899.90
TX043190,49899.87
TX054863,49898.00
TX036758,49897.71
TX086877,49897.09
TX017525,49896.40
TX074388,49896.27
TX063700,49896.06
TX087600,49894.84
TX080143,49894.19
TX012411,49894.15
TX087230,49894.04
TX079229,49893.39
TX067064,49893.09
TX050723,49892.63
TX070628,49891.91
TX023488,49891.82
TX075810,49891.13
TX059808,49890.85
TX001274,49890.63
TX068170,49890.33
TX090224,49890.06
TX004373,49889.42
TX084236,49889.20
TX083346,49888.97
TX070111,49888.65
TX073624,49888.42
TX035010,49888.35
TX061234,49888.31
TX076580,49887.41
TX054304,49886.68
TX037627,49886.61
TX039275,49886.10
TX016092,49885.77
TX011041,49885.61
TX014613,49884.89
TX054126,49884.54
TX067652,49884.45
TX062609,49883.98
TX016733,49883.76
TX010416,49882.88
TX075168,49881.95
TX068895,49881.78
TX062972,49880.92
TX098593,49880.73
TX090684,49880.68
TX064939,49878.92
TX079242,49878.60
TX086500,49878.59
TX011219,49878.08
TX017855,49877.25
TX060298,49877.20
TX091517,49877.18
TX073555,49876.98
TX066246,49876.82
TX059903,49876.54
TX020897,49876.31
TX082303,49875.90
TX019717,49875.71
TX052382,49875.64
TX003178,49872.62
TX036863,49872.46
TX087349,49871.98
TX097340,49871.86
TX040643,49871.72
TX006002,49871.53
TX047767,49871.52
TX013619,49871.29
TX069738,49870.39
TX025212,49869.31
TX026972,49869.28
TX035243,49868.10
TX026634,49867.86
TX008393,49867.86
TX076332,49867.68
TX059454,49867.58
TX052683,49867.21
TX038061,49866.52
TX009319,49865.13
TX029064,49863.90
TX007405,49863.16
TX053946,49861.49
TX071593,49861.17
TX084481,49860.00
TX002675,49859.73
TX028925,49859.33
TX053887,49858.76
TX047560,49858.04
TX087926,49857.97
TX072191,49857.68
TX087963,49857.27
TX098560,49856.89
TX023120,49856.14
TX043201,49855.55
TX048905,49854.12
TX062366,49853.53
TX056383,49853.53
TX082793,49852.89
TX009019,49852.85
TX005155,49851.87
TX034425,49851.84
TX034613,49851.44
TX008191,49851.23
TX014870,49851.06
TX076528,49850.86
TX033547,49850.62
TX025989,49849.85
TX034185,49849.53
TX016750,49849.31
TX057786,49848.69
TX055203,49847.81
TX008485,49845.89
TX001152,49845.83
TX049550,49844.85
TX032313,49843.82
TX031361,49843.28
TX038743,49843.09
TX072963,49842.47
TX013954,49840.68
TX063850,49840.35
TX068716,49839.81
TX011018,49838.55
TX068537,49838.07
TX078181,49837.59
TX076167,49837.05
TX058954,49836.88
TX063297,49836.55
TX093896,49836.30
TX072151,49836.26
TX038377,49834.40
TX064379,49834.28
TX086690,49834.03
TX005157,49833.56
TX088604,49831.01
TX044883,49830.08
TX021823,49830.05
TX027776,49829.48
TX059315,49829.38
TX019123,49828.64
TX054215,49828.48
TX013906,49828.37
TX023665,49827.98
TX038524,49827.96
TX048931,49827.61
TX025682,49827.33
TX015908,49826.13
TX029349,49825.95
TX057854,49825.74
TX058874,49825.55
TX025063,49824.06
TX025601,49823.98
TX058063,49823.37
TX080492,49822.52
TX049965,49822.45
TX092388,49822.33
TX017674,49821.83
TX084923,49821.56
TX094208,49820.79
TX028320,49819.39
TX015613,49819.11
TX017769,49819.10
TX011296,49818.85
TX030181,49818.84
TX036708,49818.56
TX094288,49818.35
TX007617,49818.25
TX049652,49818.10
TX072025,49817.14
TX093824,49816.84
TX017547,49816.55
TX088740,49816.52
TX039868,49815.78
TX077152,49815.51
TX084755,49815.28
TX049750,49815.21
TX015271,49814.82
TX098664,49812.55
TX096657,49812.07
TX022870,49812.07
TX054734,49809.74
TX016622,49809.62
TX090184,49807.51
TX085387,49807.14
TX099914,49807.03
TX070457,49806.70
TX001291,49806.35
TX033953,49805.45
TX015115,49804.99
TX064696,49804.06
TX067447,49803.50
TX072639,49801.62
TX072892,49801.57
TX078316,49801.50
TX073432,49801.32
TX013290,49799.98
TX077377,49799.37
TX092410,49799.20
TX025831,49798.60
TX088576,49798.40
TX074660,49798.08
TX021825,49797.94
TX051470,49797.25
TX031511,49796.99
TX039312,49796.70
TX037208,49796.54
TX053369,49796.51
TX090066,49794.90
TX090456,49794.15
TX050359,49793.96
TX092158,49793.11
TX039006,49793.07
TX009201,49793.00
TX026014,49791.46
TX027539,49791.22
TX066877,49791.16
TX066141,49791.03
TX050086,49790.90
TX001836,49790.68
TX037020,49790.53
TX086279,49789.66
TX057776,49789.54
TX076864,49789.00
TX057155,49787.82
TX046173,49787.81
TX009190,49787.51
TX075466,49787.47
TX056889,49787.33
TX049663,49787.17
TX074084,49787.04
TX007922,49786.46
TX058832,49786.07
TX055486,49785.12
TX037770,49784.42
TX034435,49784.41
TX094446,49783.98
TX019603,49783.75
TX070285,49783.67
TX099939,49782.93
TX060233,49782.79
TX097035,49782.71
TX062244,49781.41
TX014199,49781.02
TX067329,49779.02
TX027081,49778.51
TX014734,49778.13
TX067874,49778.02
TX005018,49777.82
TX063093,49776.78
TX029913,49775.50
TX035467,49774.76
TX099361,49774.56
TX096353,49774.36
TX068209,49773.04
TX069102,49772.98
TX088513,49772.09
TX081752,49771.89
TX096789,49771.84
TX037805,49770.36
TX036032,49769.18
TX047120,49768.82
TX045838,49768.21
TX082608,49767.84
TX039351,49766.95
TX062092,49766.91
TX065447,49766.76
TX055262,49766.58
TX030403,49766.53
TX033986,49766.06
TX095265,49765.96
TX026844,49765.40
TX049727,49765.12
TX099278,49764.46
TX052413,49764.26
TX024357,49764.14
TX006263,49763.79
TX023295,49762.79
TX063688,49762.76
TX025049,49762.59
TX030740,49762.30
TX000428,49761.81
TX084961,49761.63
TX076161,49761.54
TX054619,49760.81
TX014011,49760.37
TX087992,49759.31
TX071682,49759.13
TX032279,49758.40
TX036121,49757.11
TX023346,49756.97
TX056856,49756.75
TX004562,49755.93
TX082633,49755.32
TX081960,49755.21
TX087271,49754.34
TX034615,49753.92
TX063267,49751.01
TX046295,49750.24
TX097710,49750.00
TX086435,49749.81
TX030012,49748.56
TX089216,49747.94
TX066988,49747.68
TX035109,49747.01
TX049524,49746.78
TX061358,49746.05
TX054012,49745.71
TX040279,49745.62
TX027476,49745.33
TX078945,49745.27
TX038550,49745.23
TX046021,49744.40
TX005117,49744.26
TX085747,49742.48
TX094584,49742.16
TX023354,49740.85
TX088278,49738.56
TX096805,49737.60
TX079059,49737.17
TX081061,49736.67
TX034370,49734.78
TX037715,49734.58
TX099481,49734.14
TX067706,49734.02
TX041071,49732.51
TX045106,49732.11
TX056064,49731.91
TX059807,49731.16
TX094883,49729.62
TX052216,49729.49
TX041315,49729.17
TX025767,49728.53
TX040897,49728.13
TX099250,49727.90
TX048787,49727.15
TX019060,49726.85
TX031998,49726.68
TX005459,49726.62
TX062205,49726.39
TX073576,49726.23
TX002372,49725.87
TX009829,49725.47
TX071077,49725.20
TX052407,49724.01
TX072074,49723.76
TX020588,49723.74
TX063509,49723.42
TX087432,49722.73
TX022873,49722.65
TX081486,49722.41
TX078323,49722.23
TX075914,49721.38
